,tweet_id,name,username,tweet,created_at
0,1568741142619127808,Ima⁷,AgfImAl,"@hazelnutrain @infotwitwor_ anying, cari jawaban dr brainly donh, nangis bgt😭😭",2022-09-10 23:20:08+00:00
1,1568739439643447298,Hadiah Kecap,NingsihOks,RT @Rifxsyndrome: @ModalYakinnn @infotwitwor_ Yang paling ngakak bagian dia ketawan copas wkwkw dari brainly lagi wkwkw anjir,2022-09-10 23:13:22+00:00
2,1568716280278163456,the Almánzar's quotes hourly,dailyalmnzrs,"my mom: harus jujur, di kerja kuliah nanti gabisa nyotek² me: oke also me: brainly, photomath, google",2022-09-10 21:41:21+00:00
3,1568709961819246592,Alin,Aulia_Linn,udah ketauan nyontek brainly masih aja ngelak. ckckck YAAMPON URAT MALU LU UDAH PUTUS APE GIMANA SI😭😭 https://t.co/dny8rMKuMC,2022-09-10 21:16:14+00:00
4,1568705194866909187,Gak dulu,gakdolo,"RT @urikaeureka: @Hana_restu20 @howlisheet @LycentusProm @infotwitwor_ Mjb, yg paling lucu itu ada bahan debat dia yg dia copas dri brainly…",2022-09-10 20:57:18+00:00
5,1568695258879512576,kio,toomoey,DARI BRAINLY NGENTOT LUPIKIR LAGI KUIS N ULANGAN BANGSTAYY KOCAGG https://t.co/j78Xaa9TFm https://t.co/uWH8hNHai5,2022-09-10 20:17:49+00:00
6,1568684916266921984,heyyo,tiramisyuwww,WKWKWKW MANA COPASNYA DARI BRAINLY LAGI😭 https://t.co/d5tTJ1ZS0e,2022-09-10 19:36:43+00:00
7,1568662565391302658,ciaa •kinda ia•,Selendpty,lagi sibuk copas dari brainly https://t.co/3Mnt2X0dp8,2022-09-10 18:07:54+00:00
8,1568661463262429184,eka,xelemoon,"pentingnya memparafrase sblm mengutip biar ga ketauan copas, dari brainly lgi😔 https://t.co/U3X1cmGU0U",2022-09-10 18:03:31+00:00
